bank_ref,payment_id,settled_amount,settlement_date,bank,narration,credit_debit
UTR000000,pay_cfcd208495d565,194.62,2026-08-03,HDFC,Razorpay Commerce settlement ord_f899139df5e105 pay_cfcd208495d565,CR
UTR000001,pay_c4ca4238a0b923,292.42,2026-08-04,HDFC,RZP Commerce settlement ord_38b3eff8baf566 pay_c4ca4238a0b923,CR
UTR000002,pay_c81e728d9d4c2f,488.02,2026-08-05,HDFC,Razorpay Marketplace settlement ord_ec8956637a9978 pay_c81e728d9d4c2f,CR
UTR000004,pay_a87ff679a2f3e7,781.42,2026-08-07,HDFC,RZP Commerce settlement ord_c9e1074f5b3f9f pay_a87ff679a2f3e7,CR
UTR000006,pay_1679091c5a880f,1466.02,2026-08-09,HDFC,Razorpay Commerce settlement ord_f0935e4cd5920a pay_1679091c5a880f,CR
UTR000007,pay_8f14e45fceea16,-1955.02,2026-08-10,HDFC,RZP Commerce settlement ord_a97da629b098b7 pay_8f14e45fceea16,DR
UTR000008,pay_c9f0f895fb98ab,2444.02,2026-08-11,HDFC,Razorpay Marketplace settlement ord_a3c65c2974270f pay_c9f0f895fb98ab,CR
UTR000009,pay_45c48cce2e2d7f,4839.02,2026-08-12,HDFC,Razorpay Commerce settlement ord_2723d092b63885 pay_45c48cce2e2d7f,CR
UTR000010,pay_d3d9446802a442,194.62,2026-08-13,HDFC,RZP Commerce settlement ord_5f93f983524def pay_d3d9446802a442,CR
UTR000011,pay_6512bd43d9caa6,292.42,2026-08-14,HDFC,Razorpay Marketplace settlement ord_698d51a19d8a12 pay_6512bd43d9caa6,CR
UTR000012,pay_c2a0d4d76fe977,488.02,2026-08-15,HDFC,Razorpay Commerce settlement ord_7f6ffaa6bb0b40 pay_c20ad4d76fe977,CR
UTR000013,pay_c51ce410c124a1,585.82,2026-08-16,HDFC,RZP Commerce settlement ord_73278a4a86960e pay_c51ce410c124a1,CR
UTR000014,pay_aab3238922bcc2,781.42,2026-08-17,HDFC,Razorpay Marketplace settlement ord_5fd0b37cd7dbbb pay_aab3238922bcc2,CR
UTR000014D,pay_aab3238922bcc2,781.42,2026-08-17,HDFC,Razorpay Marketplace settlement ord_5fd0b37cd7dbbb pay_aab3238922bcc2,CR
UTR000015,pay_9bf31c7ff06293,977.02,2026-08-18,HDFC,Razorpay Commerce settlement ord_2b44928ae11fb9 pay_9bf31c7ff06293,CR
UTR000016,pay_c74d97b01eae25,1466.02,2026-08-19,HDFC,RZP Commerce settlement ord_c45147dee72931 pay_c74d97b01eae25,CR
UTR000017,pay_70efdf2ec9b086,1955.02,2026-08-20,HDFC,Razorpay Marketplace settlement ord_eb160de1de89d9 pay_70efdf2ec9b086,CR
UTR000019,pay_1f0e3dad999083,4889.02,2026-08-22,HDFC,RZP Commerce settlement ord_07e1cd7dca89a1 pay_1f0e3dad999083,CR
UTR000020,pay_98f13708210194,194.62,2026-08-03,HDFC,Razorpay Marketplace settlement ord_da4fb5c6e93e74 pay_98f13708210194,CR
UTR000021,pay_3c59dc048e8850,292.42,2026-08-04,HDFC,Razorpay Commerce settlement ord_4c56ff4ce4aaf9 pay_3c59dc048e8850,CR
UTR000023,pay_37693cfc748049,585.82,2026-08-06,HDFC,Razorpay Marketplace settlement ord_202cb962ac5907 pay_37693cfc748049,CR
UTR000024,pay_1ff1de774005f8,781.42,2026-08-07,HDFC,Razorpay Commerce settlement ord_c8ffe9a587b126 pay_1ff1de774005f8,CR
UTR000025,pay_8e296a067a3756,977.02,2026-08-08,HDFC,Razor Pay Commerc settlement ord_3def184ad8f475 pay_8e296a067a3756,CR
UTR000026,pay_4e732ced3463d0,1466.02,2026-08-09,HDFC,Razorpay Marketplace settlement ord_069059b7ef840f pay_4e732ced3463d0,CR
UTR000027,pay_02e74f10e0327a,1905.02,2026-08-10,HDFC,Razorpay Commerce settlement ord_ec5decca5ed3d6 pay_02e74f10e0327a,CR
UTR000028,pay_33e75ff09dd601,2444.02,2026-08-11,HDFC,RZP Commerce settlement ord_76dc611d6ebaaf pay_33e75ff09dd601,CR
UTR000029,pay_6ea9ab1baa0efb,-4889.02,2026-08-12,HDFC,Razorpay Marketplace settlement ord_d1f491a404d685 pay_6ea9ab1baa0efb,DR
UTR000030,pay_34173cb38f07f8,194.62,2026-08-13,HDFC,Razorpay Commerce settlement ord_9b8619251a1905 pay_34173cb38f07f8,CR
UTR000031,pay_c16a5320fa4755,292.42,2026-08-14,HDFC,RZP Commerce settlement ord_1afa34a7f984ee pay_c16a5320fa4755,CR
UTR000032,pay_6364d3f0f495b6,488.02,2026-08-15,HDFC,Razorpay Marketplace settlement ord_65ded5353c5ee4 pay_6364d3f0f495b6,CR
UTR000034,pay_e369853df766fa,781.42,2026-08-17,HDFC,RZP Commerce settlement ord_02522a2b2726fb pay_e369853df766fa,CR
UTR000035,pay_1c383cd30b7c29,977.02,2026-08-18,HDFC,Razorpay Marketplace settlement ord_7f1de29e6da19d pay_1c383cd30b7c29,CR
UTR000036,pay_19ac14e7ea6328,1466.02,2026-08-19,HDFC,Razorpay Commerce settlement ord_42a0e188f5033b pay_19ca14e7ea6328,CR
UTR000037,pay_a5bfc9e07964f8,1955.02,2026-08-20,HDFC,RZP Commerce settlement ord_3988c7f88ebcb5 pay_a5bfc9e07964f8,CR
UTR000039,pay_d67d8ab4f4c10b,4889.02,2026-08-22,HDFC,Razorpay Commerce settlement ord_e00da03b685a0d pay_d67d8ab4f4c10b,CR
UTR000040,pay_d645920e395fed,194.62,2026-08-03,HDFC,RZP Commerce settlement ord_1385974ed5904a pay_d645920e395fed,CR
UTR000041,pay_3416a75f4cea91,242.42,2026-08-04,HDFC,Razorpay Marketplace settlement ord_0f28b5d49b3020 pay_3416a75f4cea91,CR
UTR000042,pay_a1d0c6e83f0273,488.02,2026-08-05,HDFC,Razorpay Commerce settlement ord_a8baa56554f963 pay_a1d0c6e83f0273,CR
UTR000043,pay_17e62166fc8586,585.82,2026-08-06,HDFC,RZP Commerce settlement ord_903ce9225fca3e pay_17e62166fc8586,CR
UTR000044,pay_f7177163c833df,781.42,2026-08-07,HDFC,Razorpay Marketplace settlement ord_0a09c8844ba8f0 pay_f7177163c833df,CR
UTR000045,pay_6c8349cc7260ae,977.02,2026-08-11,HDFC,Razorpay Commerce settlement ord_2b24d495052a8c pay_6c8349cc7260ae,CR
UTR000046,pay_d9d4f495e875a2,1466.02,2026-08-09,HDFC,RZP Commerce settlement ord_a5e00132373a70 pay_d9d4f495e875a2,CR
UTR000047,pay_67c6a1e7ce56d3,1955.02,2026-08-10,HDFC,Razorpay Marketplace settlement ord_8d5e957f297893 pay_67c6a1e7ce56d3,CR
UTR000048,pay_642e92efb79421,2444.02,2026-08-11,HDFC,Razorpay Commerce settlement ord_47d1e990583c9c pay_642e92efb79421,CR
UTR000049,pay_f457c545a9ded8,4889.02,2026-08-12,HDFC,RZP Commerce settlement ord_f2217062e9a397 pay_f457c545a9ded8,CR
UTR000050,pay_c0c7c76d30bd3d,194.62,2026-08-13,HDFC,Razorpay Marketplace settlement ord_7ef605fc8dba54 pay_c0c7c76d30bd3d,CR
UTR000051,pay_2838023a778dfa,292.42,2026-08-14,HDFC,Razorpay Commerce settlement ord_a8f15eda80c50a pay_2838023a778dfa,CR
UTR000052,pay_9a1158154dfa42,488.02,2026-08-15,HDFC,RZP Commerce settlement ord_37a749d808e464 pay_9a1158154dfa42,CR
UTR000052D,pay_9a1158154dfa42,488.02,2026-08-15,HDFC,RZP Commerce settlement ord_37a749d808e464 pay_9a1158154dfa42,CR
UTR000053,pay_d82c8d1619ad81,585.82,2026-08-16,HDFC,Razorpay Marketplace settlement ord_b3e3e393c77e35 pay_d82c8d1619ad81,CR
UTR000054,pay_a684eceee76fc5,781.42,2026-08-17,HDFC,Razorpay Commerce settlement ord_1d7f7abc18fcb4 pay_a684eceee76fc5,CR
UTR000056,pay_9f61408e3afb63,1466.02,2026-08-19,HDFC,Razorpay Marketplace settlement ord_1c9ac0159c94d8 pay_9f61408e3afb63,CR
UTR000057,pay_72b32a1f754ba1,1955.02,2026-08-20,HDFC,Razorpay Commerce settlement ord_6c4b761a28b734 pay_72b32a1f754ba1,CR
UTR000058,pay_ghost_58,2444.02,2026-08-21,HDFC,RZP Commerce settlement ord_06409663226af2 pay_66f041e16a6092,CR
UTR000059,pay_ghost_59,4889.02,2026-08-22,HDFC,Razorpay Marketplace settlement ord_140f6969d5213f pay_093f65e080a295,CR
